Time,Z
2003-03-03T16:13:40.000,-1.0565798828
2003-03-03T16:13:45.000,-1.0513478186
2003-03-03T16:13:50.000,-1.0460833053
2003-03-03T16:13:55.000,-1.0407865034
2003-03-03T16:14:00.000,-1.0354575746
2003-03-03T16:14:05.000,-1.0300966815
2003-03-03T16:14:10.000,-1.0247039876
2003-03-03T16:14:15.000,-1.0192796575
2003-03-03T16:14:20.000,-1.0138238567
2003-03-03T16:14:25.000,-1.0083367518
2003-03-03T16:14:30.000,-1.0028185104
2003-03-03T16:14:35.000,-0.997269301
2003-03-03T16:14:40.000,-0.9916892929
2003-03-03T16:14:45.000,-0.9860786567
2003-03-03T16:14:50.000,-0.9804375637
2003-03-03T16:14:55.000,-0.9747661864
2003-03-03T16:15:00.000,-0.9690646979
2003-03-03T16:15:05.000,-0.9633332726
2003-03-03T16:15:10.000,-0.9575720855
2003-03-03T16:15:15.000,-0.9517813129
2003-03-03T16:15:20.000,-0.9459611318
2003-03-03T16:15:25.000,-0.9401117201
2003-03-03T16:15:30.000,-0.9342332568
2003-03-03T16:15:35.000,-0.9283259215
2003-03-03T16:15:40.000,-0.9223898951
2003-03-03T16:15:45.000,-0.9164253591
2003-03-03T16:15:50.000,-0.910432496
2003-03-03T16:15:55.000,-0.9044114893
2003-03-03T16:16:00.000,-0.8983625231
2003-03-03T16:16:05.000,-0.8922857826
2003-03-03T16:16:10.000,-0.8861814539
2003-03-03T16:16:15.000,-0.8800497239
2003-03-03T16:16:20.000,-0.8738907803
2003-03-03T16:16:25.000,-0.8677048118
2003-03-03T16:16:30.000,-0.8614920078
2003-03-03T16:16:35.000,-0.8552525585
2003-03-03T16:16:40.000,-0.8489866553
2003-03-03T16:16:45.000,-0.84269449
2003-03-03T16:16:50.000,-0.8363762555
2003-03-03T16:16:55.000,-0.8300321454
2003-03-03T16:17:00.000,-0.8236623542
2003-03-03T16:17:05.000,-0.8172670771
2003-03-03T16:17:10.000,-0.8108465102
2003-03-03T16:17:15.000,-0.8044008504
2003-03-03T16:17:20.000,-0.7979302954
2003-03-03T16:17:25.000,-0.7914350435
2003-03-03T16:17:30.000,-0.7849152941
2003-03-03T16:17:35.000,-0.7783712471
2003-03-03T16:17:40.000,-0.7718031033
2003-03-03T16:17:45.000,-0.7652110642
2003-03-03T16:17:50.000,-0.7585953322
2003-03-03T16:17:55.000,-0.7519561103
2003-03-03T16:18:00.000,-0.7452936022
2003-03-03T16:18:05.000,-0.7386080125
2003-03-03T16:18:10.000,-0.7318995465
2003-03-03T16:18:15.000,-0.7251684101
2003-03-03T16:18:20.000,-0.7184148101
2003-03-03T16:18:25.000,-0.7116389539
2003-03-03T16:18:30.000,-0.7048410495
2003-03-03T16:18:35.000,-0.6980213059
2003-03-03T16:18:40.000,-0.6911799325
2003-03-03T16:18:45.000,-0.6843171396
2003-03-03T16:18:50.000,-0.677433138
2003-03-03T16:18:55.000,-0.6705281393
2003-03-03T16:19:00.000,-0.6636023557
2003-03-03T16:19:05.000,-0.6566560002
2003-03-03T16:19:10.000,-0.6496892862
2003-03-03T16:19:15.000,-0.642702428
2003-03-03T16:19:20.000,-0.6356956405
2003-03-03T16:19:25.000,-0.628669139
2003-03-03T16:19:30.000,-0.6216231397
2003-03-03T16:19:35.000,-0.6145578594
2003-03-03T16:19:40.000,-0.6074735153
2003-03-03T16:19:45.000,-0.6003703255
2003-03-03T16:19:50.000,-0.5932485084
2003-03-03T16:19:55.000,-0.5861082833
2003-03-03T16:20:00.000,-0.5789498698
2003-03-03T16:20:05.000,-0.5717734884
2003-03-03T16:20:10.000,-0.5645793598
2003-03-03T16:20:15.000,-0.5573677056
2003-03-03T16:20:20.000,-0.5501387478
2003-03-03T16:20:25.000,-0.542892709
2003-03-03T16:20:30.000,-0.5356298122
2003-03-03T16:20:35.000,-0.5283502813
2003-03-03T16:20:40.000,-0.5210543403
2003-03-03T16:20:45.000,-0.5137422141
2003-03-03T16:20:50.000,-0.5064141278
2003-03-03T16:20:55.000,-0.4990703073
2003-03-03T16:21:00.000,-0.4917109788
2003-03-03T16:21:05.000,-0.4843363691
2003-03-03T16:21:10.000,-0.4769467055
2003-03-03T16:21:15.000,-0.4695422156
2003-03-03T16:21:20.000,-0.4621231279
2003-03-03T16:21:25.000,-0.4546896709
2003-03-03T16:21:30.000,-0.4472420738
2003-03-03T16:21:35.000,-0.4397805663
2003-03-03T16:21:40.000,-0.4323053784
2003-03-03T16:21:45.000,-0.4248167406
2003-03-03T16:21:50.000,-0.4173148839
2003-03-03T16:21:55.000,-0.4098000397
2003-03-03T16:22:00.000,-0.4022724398
2003-03-03T16:22:05.000,-0.3947323165
2003-03-03T16:22:10.000,-0.3871799022
2003-03-03T16:22:15.000,-0.3796154301
2003-03-03T16:22:20.000,-0.3720391336
2003-03-03T16:22:25.000,-0.3644512464
2003-03-03T16:22:30.000,-0.3568520029
2003-03-03T16:22:35.000,-0.3492416374
2003-03-03T16:22:40.000,-0.341620385
2003-03-03T16:22:45.000,-0.3339884809
2003-03-03T16:22:50.000,-0.3263461608
2003-03-03T16:22:55.000,-0.3186936605
2003-03-03T16:23:00.000,-0.3110312165
2003-03-03T16:23:05.000,-0.3033590653
2003-03-03T16:23:10.000,-0.2956774438
2003-03-03T16:23:15.000,-0.2879865894
2003-03-03T16:23:20.000,-0.2802867396
2003-03-03T16:23:25.000,-0.2725781323
2003-03-03T16:23:30.000,-0.2648610055
2003-03-03T16:23:35.000,-0.2571355979
2003-03-03T16:23:40.000,-0.2494021479
2003-03-03T16:23:45.000,-0.2416608947
2003-03-03T16:23:50.000,-0.2339120775
2003-03-03T16:23:55.000,-0.2261559357
2003-03-03T16:24:00.000,-0.2183927092
2003-03-03T16:24:05.000,-0.2106226378
2003-03-03T16:24:10.000,-0.2028459618
2003-03-03T16:24:15.000,-0.1950629216
2003-03-03T16:24:20.000,-0.1872737578
2003-03-03T16:24:25.000,-0.1794787114
2003-03-03T16:24:30.000,-0.1716780233
2003-03-03T16:24:35.000,-0.1638719348
2003-03-03T16:24:40.000,-0.1560606873
2003-03-03T16:24:45.000,-0.1482445225
2003-03-03T16:24:50.000,-0.1404236821
2003-03-03T16:24:55.000,-0.1325984081
2003-03-03T16:25:00.000,-0.1247689425
2003-03-03T16:25:05.000,-0.1169355276
2003-03-03T16:25:10.000,-0.1090984058
2003-03-03T16:25:15.000,-0.1012578196
2003-03-03T16:25:20.000,-0.0934140116
2003-03-03T16:25:25.000,-0.0855672247
2003-03-03T16:25:30.000,-0.0777177016
2003-03-03T16:25:35.000,-0.0698656854
2003-03-03T16:25:40.000,-0.0620114191
2003-03-03T16:25:45.000,-0.0541551458
2003-03-03T16:25:50.000,-0.0462971089
2003-03-03T16:25:55.000,-0.0384375515
2003-03-03T16:26:00.000,-0.0305767171
2003-03-03T16:26:05.000,-0.0227148491
2003-03-03T16:26:10.000,-0.014852191
2003-03-03T16:26:15.000,-0.0069889862
2003-03-03T16:26:20.000,0.0008745217
2003-03-03T16:26:25.000,0.008738089
2003-03-03T16:26:30.000,0.0166014723
2003-03-03T16:26:35.000,0.0244644279
2003-03-03T16:26:40.000,0.0323267122
2003-03-03T16:26:45.000,0.0401880816
2003-03-03T16:26:50.000,0.0480482926
2003-03-03T16:26:55.000,0.0559071015
2003-03-03T16:27:00.000,0.0637642648
2003-03-03T16:27:05.000,0.0716195391
2003-03-03T16:27:10.000,0.0794726808
2003-03-03T16:27:15.000,0.0873234465
